"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"6916","សាលាបឋមសិក្សាវត្តតាហង់ចាស់","20040806029",,,"110","23","3","6916","1",,,,,,,,,,,,,"10.44239020679592","104.3693028330155","23"
"6914","សាលាបឋមសិក្សាខ្លាលោត","20040801027",,,"110","23","3","6914","1",,,,,,,,,,,,,"10.54259630526666","104.3156158073343","23"
"6930","សាលាបឋមសិក្សាដូង","20040703022",,,"110","23","3","6930","1",,,,,,,,,,,,,"10.48275623827635","104.3303702208163","23"
"6918","សាលាបឋមសិក្សាចន្ដ្រី","20040508015",,"808","110","23","3","6918","1",,,,,,,,,,,,,"10.54960411669918","104.329547871464","23"
"6931","សាលាបឋមសិក្សាពោន","20040702021",,,"110","23","3","6931","1",,,,,,,,,,,,,"10.45431521144913","104.3191780561039","23"
"6919","សាលាបឋមសិក្សាត្រពាំងរុន","20040513016",,,"110","23","3","6919","1",,,,,,,,,,,,,"10.43797161000102","104.2546572085642","23"
"6932","សាលាបឋមសិក្សាភូមិថ្មី","20040711024",,,"110","23","3","6932","1",,,,,,,,,,,,,"10.53957202344749","104.3749505263833","23"
"6933","សាលាបឋមសិក្សាវត្តដូង","20040716025",,,"110","23","3","6933","1",,,,,,,,,,,,,"10.44698029942255","104.2540552244485","23"
"6915","សាលាបឋមសិក្សាត្រពាំងគ្រួស","20040803028",,,"110","23","3","6915","1",,,,,,,,,,,,,"10.49309777557844","104.3763332401539","23"
"6934","សាលាបឋមសិក្សាអង្គញ់","20040714053",,,"110","23","3","6934","1",,,,,,,,,,,,,"10.43270839314781","104.3668228568801","23"
"6924","សាលាបឋមសិក្សាជ្រៃធំ","20040609018",,"809","110","23","3","6924","1",,,,,,,,,,,,,"10.46801540277891","104.2229776951623","23"
"6921","សាលាបឋមសិក្សាសាមគ្គីត្រពាំងធ្លក","20040503057",,,"110","23","3","6921","1",,,,,,,,,,,,,"10.47096293801274","104.3067868182738","23"
"6922","សាលាបឋមសិក្សាស្វាយជុំ","20040502014",,,"110","23","3","6922","1",,,,,,,,,,,,,"10.53370156949236","104.3396410713901","23"
"6923","សាលាបឋមសិក្សាខ្ពបត្រាច","20040614020",,,"110","23","3","6923","1",,,,,,,,,,,,,"10.55173942450283","104.2027153953384","23"
"6926","សាលាបឋមសិក្សាអន្សោង","20040604017",,,"110","23","3","6926","1",,,,,,,,,,,,,"10.52873523053516","104.2237275972366","23"
"6927","សាលាបឋមសិក្សា៧មករាព្រៃព្រះ","20040718056",,,"110","23","3","6927","1",,,,,,,,,,,,,"10.43368370456633","104.2893891719436","23"
"6928","សាលាបឋមសិក្សាកំពង់ថ្នា","20040705023",,,"110","23","3","6928","1",,,,,,,,,,,,,"10.52084223711214","104.2099055967735","23"
"6966","សាលាបឋមសិក្សាឡឹកសំបុណ្យល័ក្ខរាជា","20030405007",,,"109","23","3","6966","1",,,,,,,,,,,,,"10.54683449705563","104.2654266821818","23"
"6958","សាលាបឋមសិក្សាជីកដី","20040304008",,,"110","23","3","6958","1",,,,,,,,,,,,,"10.5265472330057","104.214105766505","23"
"6972","សាលាបឋមសិក្សាទួលសាលា","20030502008",,,"109","23","3","6972","1",,,,,,,,,,,,,"10.59419381068693","104.2674691355699","23"
"6974","សាលាបឋមសិក្សា២ធ្នូ","20030204024",,,"109","23","3","6974","1",,,,,,,,,,,,,"10.49151418375206","104.3743519919575","23"
"6975","សាលាបឋមសិក្សាហ៊ុនសែនព្រែកពក","20030206026",,,"109","23","3","6975","1",,,,,,,,,,,,,"10.56579546036287","104.2510893692693","23"
"6973","សាលាបឋមសិក្សាហ៊ុនសែនភូមិក្រូច","20030505009",,,"109","23","3","6973","1",,,,,,,,,,,,,"10.45375662235744","104.2513095862505","23"
"6967","សាលាបឋមសិក្សាកំពង់អំពិល","20030604012",,,"109","23","3","6967","1",,,,,,,,,,,,,"10.58025633648275","104.2411424202406","23"
"6959","សាលាបឋមសិក្សាអណ្ដូងត្របែក","20040305009",,,"110","23","3","6959","1",,,,,,,,,,,,,"10.53944868444412","104.3792110089283","23"
"6977","សាលាបឋមសិក្សាហ៊ុនសែនវត្តធ្នង់","20030205025",,,"109","23","3","6977","1",,,,,,,,,,,,,"10.41120619513113","104.2233757999138","23"
"6978","សាលាបឋមសិក្សាហ៊ុនសែនសិរីវង្ស","20030202028",,,"109","23","3","6978","1",,,,,,,,,,,,,"10.57016049565162","104.2076284202654","23"
"6979","សាលាបឋមសិក្សាធ្មា","20030301004",,,"109","23","3","6979","1",,,,,,,,,,,,,"10.50013575234708","104.2646583399752","23"
"6981","សាលាបឋមសិក្សាបុសមន","20030105002",,,"109","23","3","6981","1",,,,,,,,,,,,,"10.50247731409898","104.3540424490714","23"
"6960","សាលាបឋមសិក្សាទួលតាធន់","20040208005",,,"110","23","3","6960","1",,,,,,,,,,,,,"10.45387102831687","104.2651201736554","23"
"6980","សាលាបឋមសិក្សាពង្រ","20030307005",,,"109","23","3","6980","1",,,,,,,,,,,,,"10.57974437784983","104.2413102915903","23"
"6982","សាលាបឋមសិក្សាស្រម៉","20030107003",,,"109","23","3","6982","1",,,,,,,,,,,,,"10.4990387012955","104.2247377775191","23"
"6983","សាលាបឋមសិក្សាហ៊ុនសែនបុសមនលើ","20030101001",,,"109","23","3","6983","1",,,,,,,,,,,,,"10.44828959940143","104.3083583634735","23"
"6984","សាលាបឋមសិក្សាជៀងអំសេដ្ឋាពងទឹក","20030807018",,,"109","23","3","6984","1",,,,,,,,,,,,,"10.44260073553952","104.3672612352458","23"
